id	DclMut1	DclMut2	JmjMut	SdgMut
51	ASV_820	DclMut1LsR_NipWtLsR_D	DclMut2LsR_NipWtLsR_D	JmjMutLsR_DjWtLsR_D	SdgMutLsR_Zh11WtLsR_D
52	ASV_20	DclMut1LsR_NipWtLsR_D	DclMut2LsR_NipWtLsR_D	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
53	ASV_265	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_D
54	ASV_2371	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
55	ASV_660	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
56	ASV_5533	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
57	ASV_7464	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
58	ASV_171	DclMut1LsR_NipWtLsR_E	DclMut2LsR_NipWtLsR_E	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_D
59	ASV_425	DclMut1LsR_NipWtLsR_D	DclMut2LsR_NipWtLsR_D	JmjMutLsR_DjWtLsR_D	SdgMutLsR_Zh11WtLsR_D
60	ASV_30	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_D	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_D
61	ASV_508	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
62	ASV_37	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
63	ASV_43	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_E	SdgMutLsR_Zh11WtLsR_E
64	ASV_9	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_D
65	ASV_188	DclMut1LsR_NipWtLsR_D	DclMut2LsR_NipWtLsR_D	JmjMutLsR_DjWtLsR_D	SdgMutLsR_Zh11WtLsR_D
66	ASV_993	DclMut1LsR_NipWtLsR_D	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
67	ASV_879	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
68	ASV_122	DclMut1LsR_NipWtLsR_D	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_D	SdgMutLsR_Zh11WtLsR_D
69	ASV_94	DclMut1LsR_NipWtLsR_D	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_E	SdgMutLsR_Zh11WtLsR_N
70	ASV_886	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_E	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
71	ASV_1227	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
72	ASV_190	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
73	ASV_468	DclMut1LsR_NipWtLsR_D	DclMut2LsR_NipWtLsR_D	JmjMutLsR_DjWtLsR_D	SdgMutLsR_Zh11WtLsR_N
74	ASV_34	DclMut1LsR_NipWtLsR_D	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
75	ASV_2581	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
76	ASV_144	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
77	ASV_6860	DclMut1LsR_NipWtLsR_D	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_E	SdgMutLsR_Zh11WtLsR_E
78	ASV_100	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_E	SdgMutLsR_Zh11WtLsR_E
