NipWtLsR01	NipWtLsR02	NipWtLsR03	NipWtLsR04	NipWtLsR05	NipWtLsR06	NipWtLsR07	NipWtLsR08	NipWtLsR09	NipWtLsR10	NipWtLsR11	NipWtLsR12	NipWtLsR13	NipWtLsR14	NipWtLsR15	DjWtLsR01	DjWtLsR02	DjWtLsR03	DjWtLsR04	DjWtLsR05	DjWtLsR06	DjWtLsR07	DjWtLsR08	DjWtLsR09	DjWtLsR10	DjWtLsR11	DjWtLsR12	DjWtLsR13	DjWtLsR14	DjWtLsR15	Zh11WtLsR01	Zh11WtLsR02	Zh11WtLsR03	Zh11WtLsR04	Zh11WtLsR05	Zh11WtLsR06	Zh11WtLsR07	Zh11WtLsR08	Zh11WtLsR09	Zh11WtLsR10	Zh11WtLsR11	Zh11WtLsR12	Zh11WtLsR13	Zh11WtLsR14	Zh11WtLsR15
ASV_41	0.09143503	0.09979671	0.15666819	0.2413585	0.12844986	0.10422844	0.11819596	0.22585158	0.72674419	0.3599129	0.74314909	0.22609928	0.09024951	0.77658806	0.26032045	0.15978589	0.18032458	0.13458393	0.14787375	0.25641026	0.31495193	0.08525149	0.29808008	0.76717183	0.22917797	0.44446956	0.22140221	1.34494436	0.54883222	1.14448129	0.214326	0.60002308	0.54759329	0.38028072	0.31763211	0.0538124	0.1705296	0.45973992	0.44024947	0.44942934	0.32780332	0.39098212	0.41028878	0.28611293	0.31304201
ASV_738	0.06816066	0.11458141	0.12402898	0.06033963	0.06779298	0.07008464	0.18040435	0.12135309	0.07621951	0.15476255	0.08429237	0.12148618	0.09378871	0.06219428	0.07389742	0.08388759	0.10018032	0.05590409	0.0059747	0.08814103	0.09209121	0.09590793	0.07275971	0.06408806	0.09046499	0.13371754	0.07778997	0.20512821	0.06405928	0.15348176	0.04136116	0.11154275	0.10140617	0.07144668	0.09411322	0.01448795	0.11768944	0.04315926	0.1434146	0.11432852	0.04597242	0.02139703	0.09919069	0.02649194	0.22420576
ASV_40	1.3000399	0.79098133	0.7604935	1.20506853	0.69398605	0.32346757	0.56817004	0.52417792	0.34210153	0.66583887	0.27007965	0.53487666	0.40346841	0.51772537	0.30230761	0.61118102	0.74679878	0.45758536	0.08065841	0.32852564	0.47519063	0.28132992	0.24174999	0.37887356	0.44428362	0.58383713	0.25730528	0.14900822	0.35146038	0.55708195	0.29516826	0.34809031	1.46700919	0.38949964	0.16940379	0.20283136	0.19214603	0.68867163	0.48027215	0.54010368	1.64901059	0.66719835	0.39450844	0.11656453	0.31092686
ASV_140	0	0.00369617	0	0	0.00178403	0.00179704	0	0	0.00177255	0.00179956	0.00172025	0.00168731	0.0017696	0	0	0.00399465	0	0.00207052	0.00298735	0	0	0.00213129	0	0	0.00201033	0	0	0	0.01038799	0	0.00564016	0	0	0	0	0.00206971	0	0.00375298	0	0	0	0.00389037	0.00225433	0.00706452	0.0042303
ASV_14	2.49368267	2.40436149	2.55728181	3.17903629	2.7277755	2.79440042	1.65059616	1.34499671	2.90697674	3.69270637	2.79196986	2.60857827	0.67775615	1.8439764	1.60055087	2.09519244	2.24221781	1.38103816	0.44511494	2.37019231	2.22123992	1.01449275	1.24630334	2.00557943	2.1430151	4.46541236	0.68215817	1.95065312	1.37294621	6.56939839	0.86858432	2.52125082	2.26924464	1.23764088	0.56938497	0.4263598	1.41227333	2.81285771	1.99446353	3.35889298	1.6709974	1.87126768	0.89947925	0.39208068	2.22302128
ASV_1841	0	0	0	0	0	0	0.00207361	0	0	0.00179956	0.00344051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00947418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_27	1.69237931	1.44520421	0.82740388	0.43272132	0.64581735	1.281291	0.39813375	0.79385144	1.30282189	1.98312008	0.48683147	0.35433469	1.1413909	1.45063959	0.71378187	0.6770927	2.36972004	0.54868832	0.61091278	0.23237179	0.27811545	1.24040921	0.48584706	1.37223856	2.14100476	0.08286721	0.90356039	1.12433478	1.46124414	0.88678351	0.58657642	0.34232086	0.35154137	0.9772062	0.75996424	1.88550377	0.3122373	0.37717438	0.15342027	0.380438	0.75754547	1.24297302	0.79577989	5.60746013	0.31938745
ASV_51	0	0.00184809	0.00163196	0	0	0	0	0	0.00177255	0	0.00172025	0.00168731	0	0	0	0	0	0	0	0	0.00184182	0.00213129	0	0	0	0	0	0.04450895	0	0.0208432	0.00188005	0	0	0	0	0	0	0.00187649	0	0	0	0	0	0	0
ASV_821	0.06151084	0.14969507	0.13545271	0.11378329	0.23549141	0.13477816	0.07672369	0.01011276	0.01240783	0.02339434	0.08085187	0.16535619	0.15395505	0.04538502	0.09741023	0.06391435	0.22039671	0.13665445	0.19567133	0.12820513	0.11050945	0.06606991	0.27460921	0.07728267	0.05226866	0.04708364	0.15557993	0.04450895	0.02770131	0.01136902	0.16356458	0.0076926	0.08563187	0.25121575	0.20704908	0.55261197	0.06004563	0.07505958	0.03335223	0.01971181	0.11393164	0.11865627	0.32236976	0.16601614	0.04230297
ASV_6628	0	0	0.00326392	0.00517197	0	0.0215645	0.00414723	0	0	0	0	0	0.0017696	0	0	0.01198394	0	0	0.00149367	0.00480769	0.02578554	0.01278772	0	0	0.00402067	0.00188335	0.00199461	0	0	0	0	0	0	0	0	0.00827883	0.00720548	0	0	0.03351008	0.0039976	0.00194518	0.00225433	0.00353226	0.01692119
